PLAYER_ID,TEAM_ID,PERIOD,ACTION_TYPE,SHOT_TYPE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,SEASON,TOTAL_REMAINING_IN_GAME
948,57,1,4,2,20,-15,200,1,2010,2450
201577,56,1,15,2,1,15,1,0,2010,2433
948,57,1,0,2,1,3,17,1,2010,2426
200746,57,1,15,2,1,4,11,0,2010,2392
201164,57,1,4,3,24,-204,134,0,2010,2349
959,56,1,1,3,24,26,244,1,2010,2341
201967,57,1,4,2,17,174,17,1,2010,2322
201162,56,1,3,2,1,4,12,1,2010,2293
202083,57,1,10,2,5,10,58,1,2010,2276
200750,57,1,3,2,1,-15,4,0,2010,2267
201967,57,1,21,2,1,15,6,0,2010,2265
2202,56,1,14,2,0,7,6,1,2010,2257
101124,56,1,0,2,0,7,-3,0,2010,2219
101112,56,1,4,2,22,155,162,0,2010,2189
101124,56,1,8,2,0,9,0,1,2010,2167
202083,57,1,0,2,2,-27,6,0,2010,2162
201609,56,1,4,3,44,77,443,0,2010,2160
201164,57,2,4,3,22,-224,1,1,2010,2131
201609,56,2,3,2,1,-13,-3,0,2010,2113
101124,56,2,4,2,19,-43,192,0,2010,2088
101177,57,2,22,2,10,-76,69,0,2010,2075
201967,57,2,4,2,20,-205,36,1,2010,2039
101112,56,2,4,2,22,103,201,0,2010,2021
202083,57,2,7,2,1,15,3,1,2010,2016
201162,56,2,4,2,17,171,17,1,2010,1996
201162,56,2,23,2,1,13,-1,0,2010,1971
201162,56,2,9,2,8,-23,83,0,2010,1951
948,57,2,4,2,15,152,0,0,2010,1940
201609,56,2,4,3,24,193,151,1,2010,1927
200746,57,2,4,2,8,-82,23,0,2010,1905
200750,57,2,4,3,23,-231,6,1,2010,1899
2735,56,2,3,2,1,15,0,1,2010,1883
2735,56,2,0,2,1,13,6,1,2010,1859
1889,57,2,4,2,8,-67,48,0,2010,1842
200750,57,2,1,2,18,102,153,1,2010,1836
201162,56,2,4,3,24,-134,205,0,2010,1816
948,57,2,4,2,17,-73,160,1,2010,1804
2735,56,2,0,2,2,17,15,0,2010,1780
1889,57,2,4,2,20,-142,153,0,2010,1761
959,56,2,4,3,24,110,220,0,2010,1728
2202,56,2,4,3,23,-226,61,1,2010,1723
201587,57,2,4,2,19,192,15,0,2010,1696
1889,57,2,10,2,8,-82,0,1,2010,1681
959,56,2,3,2,1,-2,17,0,2010,1671
200746,57,2,4,2,21,39,211,0,2010,1651
948,57,2,4,2,17,-92,149,0,2010,1643
200750,57,2,4,2,19,92,170,0,2010,1637
959,56,2,4,2,21,149,157,1,2010,1629
201587,57,2,4,2,20,100,175,0,2010,1613
200746,57,2,0,2,1,-18,6,1,2010,1611
2202,56,2,15,2,2,20,1,0,2010,1601
201577,56,2,19,2,1,4,14,1,2010,1600
201577,56,2,4,2,7,-5,78,0,2010,1532
200750,57,2,4,3,24,-128,214,0,2010,1524
255,56,2,3,2,2,-23,4,0,2010,1514
1889,57,2,3,2,1,2,11,1,2010,1506
202083,57,2,4,2,23,-2,231,0,2010,1478
101124,56,2,0,2,2,-27,-2,0,2010,1470
201587,57,2,4,3,24,132,203,0,2010,1445
2045,56,3,4,2,19,100,173,0,2010,1417
2202,56,3,0,2,1,6,11,1,2010,1362
201587,57,3,15,2,1,-10,0,1,2010,1343
2045,56,3,1,3,24,-64,236,1,2010,1320
201587,57,3,4,3,25,151,209,0,2010,1300
200750,57,3,4,2,10,50,89,0,2010,1281
948,57,3,0,2,2,23,4,0,2010,1278
200746,57,3,0,2,1,17,6,1,2010,1276
2202,56,3,4,2,16,147,66,1,2010,1270
200746,57,3,4,2,21,31,208,0,2010,1249
959,56,3,4,3,24,77,235,1,2010,1239
948,57,3,4,2,19,20,198,1,2010,1227
959,56,3,16,2,15,-90,121,0,2010,1213
2202,56,3,3,2,2,-29,4,1,2010,1204
1889,57,3,4,2,18,176,44,0,2010,1189
1889,57,3,0,2,0,7,4,1,2010,1178
959,56,3,3,2,1,-13,3,1,2010,1168
200750,57,3,4,2,18,184,20,0,2010,1135
200750,57,3,0,2,0,6,3,1,2010,1112
101124,56,3,14,2,1,-11,7,1,2010,1093
202083,57,3,0,2,1,-8,14,1,2010,1063
202083,57,3,9,2,15,159,11,0,2010,1044
201164,57,3,4,3,24,-242,22,0,2010,1040
201164,57,3,4,3,24,-87,231,1,2010,1034
255,56,3,3,2,1,10,1,1,2010,1018
948,57,3,0,2,1,10,1,1,2010,998
959,56,3,4,2,10,28,99,1,2010,989
200750,57,3,4,2,13,4,132,0,2010,979
2202,56,3,4,3,22,225,7,1,2010,970
200746,57,3,4,2,19,-62,183,0,2010,953
101124,56,3,0,2,1,-13,0,1,2010,944
959,56,3,4,2,15,21,149,0,2010,911
201967,57,3,4,2,16,-169,6,1,2010,893
959,56,3,23,2,1,-13,1,1,2010,871
202083,57,3,4,2,21,168,137,0,2010,853
959,56,3,11,2,6,24,61,1,2010,841
200750,57,3,1,2,19,147,131,1,2010,814
2202,56,3,4,2,20,105,178,0,2010,795
201967,57,3,0,2,1,16,0,0,2010,779
200750,57,3,24,2,3,23,22,1,2010,771
200750,57,3,0,2,0,-7,-6,0,2010,759
202083,57,3,4,2,20,-207,-6,0,2010,725
202083,57,3,4,3,70,-201,679,0,2010,720
101112,56,3,4,3,24,151,187,1,2010,720
202356,57,4,3,2,1,-16,0,0,2010,713
202083,57,4,4,2,18,-26,187,0,2010,701
202083,57,4,4,3,22,-224,-13,1,2010,681
101112,56,4,4,2,22,-111,192,0,2010,651
202356,57,4,3,2,2,21,-2,1,2010,635
2735,56,4,0,2,1,-15,0,0,2010,620
202356,57,4,9,2,9,-68,61,1,2010,594
201609,56,4,3,2,2,-23,0,1,2010,587
200750,57,4,4,3,24,-59,239,0,2010,562
2045,56,4,4,3,26,-163,205,0,2010,539
201162,56,4,4,2,16,-127,108,1,2010,535
202083,57,4,5,2,1,12,3,1,2010,524
201609,56,4,3,2,1,-13,7,0,2010,507
202356,57,4,4,2,4,-46,7,1,2010,495
201162,56,4,4,3,24,58,236,0,2010,481
201164,57,4,4,2,15,-57,148,0,2010,458
201162,56,4,4,3,22,222,-2,0,2010,449
2045,56,4,4,2,20,200,20,0,2010,439
202356,57,4,10,2,12,72,97,0,2010,416
948,57,4,19,2,1,-10,12,0,2010,415
200746,57,4,9,2,13,-10,135,1,2010,393
959,56,4,3,2,2,-2,26,1,2010,377
948,57,4,4,2,4,6,45,0,2010,362
959,56,4,0,2,2,-27,1,1,2010,344
200750,57,4,0,2,1,-8,14,1,2010,335
1889,57,4,4,2,18,189,1,1,2010,305
959,56,4,4,2,15,43,148,0,2010,282
201587,57,4,4,3,23,-231,1,1,2010,265
201587,57,4,4,3,24,-76,235,0,2010,229
200746,57,4,9,2,10,-103,6,0,2010,211
201587,57,4,1,2,13,135,0,1,2010,194
959,56,4,3,2,0,7,0,0,2010,168
200750,57,4,4,3,24,-84,230,1,2010,147
201587,57,4,4,3,24,195,148,1,2010,109
959,56,4,4,2,17,-93,153,0,2010,97
201587,57,4,4,3,23,228,44,0,2010,88
2202,56,4,4,2,22,-209,86,0,2010,79
200750,57,4,4,2,17,171,48,0,2010,55
959,56,4,4,3,24,-4,249,0,2010,46
2202,56,4,4,3,23,-232,47,0,2010,42
201587,57,4,4,3,23,-232,17,1,2010,22
1885,47,1,6,2,1,0,17,0,2010,2867
201166,45,1,3,2,1,-13,4,0,2010,2861
2397,45,1,12,2,10,105,-2,0,2010,2850
1885,47,1,7,2,2,21,20,1,2010,2841
2755,45,1,0,2,2,-19,17,0,2010,2828
2200,47,1,4,2,14,116,80,1,2010,2813
2203,45,1,4,2,3,-34,11,0,2010,2793
2755,45,1,4,2,15,-152,-11,1,2010,2790
1897,47,1,4,3,24,218,113,1,2010,2773
2397,45,1,4,2,12,113,45,1,2010,2755
977,47,1,11,2,14,-98,108,1,2010,2738
201166,45,1,4,3,25,-45,252,1,2010,2727
965,47,1,4,2,15,-13,157,0,2010,2712
1897,47,1,3,2,2,7,26,0,2010,2704
2397,45,1,4,2,3,-26,17,0,2010,2695
2397,45,1,19,2,1,-5,19,0,2010,2694
201166,45,1,4,3,24,242,41,0,2010,2668
1897,47,1,4,3,26,151,219,0,2010,2656
977,47,1,4,2,19,-75,184,0,2010,2621
2449,45,1,22,2,6,-4,66,0,2010,2611
2200,47,1,4,2,4,7,45,0,2010,2594
2755,45,1,4,3,27,190,197,1,2010,2587
202382,47,1,4,2,3,7,36,0,2010,2570
201166,45,1,4,3,26,53,255,1,2010,2565
977,47,1,4,2,15,-119,102,0,2010,2546
1897,47,1,4,3,23,234,0,1,2010,2539
2449,45,1,10,2,16,152,64,1,2010,2527
1897,47,1,4,2,4,40,23,1,2010,2514
2755,45,1,4,3,26,-161,206,1,2010,2503
2200,47,1,4,2,6,-57,25,1,2010,2487
965,47,1,4,3,26,138,224,0,2010,2463
1897,47,1,0,2,1,2,17,0,2010,2458
1897,47,1,5,2,4,-42,-3,0,2010,2456
2200,47,1,4,2,16,-30,162,0,2010,2442
965,47,1,4,2,20,89,190,0,2010,2432
201166,45,1,3,2,2,21,15,1,2010,2416
977,47,1,4,2,22,83,206,0,2010,2406
689,47,1,19,2,2,9,22,0,2010,2404
977,47,1,9,2,7,73,12,0,2010,2387
2200,47,1,19,2,1,6,12,1,2010,2385
2755,45,1,4,3,26,-136,228,0,2010,2373
2200,47,1,7,2,2,0,25,1,2010,2357
